employee_id,department,salary,tenure,satisfaction_level,last_evaluation,number_project,average_monthly_hours,promotion_last_5years,left,risk_score,risk_band,risk_reasons
EMP00042,technical,low,3,0.45,0.48,2,158,0,1,57.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00043,technical,low,3,0.4,0.46,2,127,0,1,64.75,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00044,technical,low,4,0.1,0.8,7,281,0,1,90.79,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00045,technical,low,4,0.09,0.89,6,276,0,1,83.01,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00046,technical,low,4,0.84,0.74,3,182,0,1,34.8,Low,[]
EMP00047,support,low,3,0.4,0.55,2,147,0,1,59.75,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00048,support,low,6,0.57,0.7,3,273,0,1,45.97,Medium,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00049,support,low,3,0.4,0.54,2,148,0,1,59.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00050,support,low,3,0.43,0.47,2,147,0,1,58.85,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00051,support,low,2,0.13,0.78,6,152,0,1,48.1,Medium,"['Low job satisfaction', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP00052,support,low,3,0.44,0.55,2,135,0,1,61.55,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00053,support,low,3,0.38,0.55,2,134,0,1,63.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00054,support,low,3,0.39,0.54,2,132,0,1,63.8,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00055,support,low,4,0.1,0.92,7,307,0,1,96.36,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00056,support,low,3,0.37,0.46,2,140,0,1,62.4,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00057,support,low,4,0.11,0.94,7,255,0,1,84.91,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00058,technical,low,4,0.1,0.81,6,309,0,1,89.79,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00059,technical,low,3,0.38,0.54,2,128,0,1,65.1,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00060,technical,low,5,0.85,1.0,4,225,0,1,34.5,Low,[]
EMP00061,management,medium,5,0.85,0.91,5,226,0,1,37.5,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP00062,it,medium,4,0.11,0.93,7,308,0,1,91.27,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00063,it,medium,5,0.1,0.95,6,244,0,1,70.86,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00064,it,medium,3,0.36,0.56,2,132,0,1,59.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00065,it,medium,4,0.11,0.94,6,286,0,1,79.56,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00066,it,medium,4,0.81,0.7,6,161,0,1,38.7,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP00067,product_mng,medium,3,0.43,0.54,2,153,0,1,53.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00068,product_mng,medium,6,0.9,0.98,4,264,0,1,29.14,Low,[]
EMP00069,product_mng,medium,5,0.76,0.86,5,223,0,1,40.2,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP00070,product_mng,medium,3,0.43,0.5,2,135,0,1,56.85,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00071,it,medium,3,0.74,0.99,2,277,0,1,51.73,Medium,"['Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth', 'Unhealthy working hours (over/under-work)']"
EMP00072,product_mng,medium,4,0.09,0.77,5,275,0,1,67.8,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00073,product_mng,high,3,0.45,0.49,2,149,0,1,47.75,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00074,product_mng,low,4,0.09,0.87,7,295,0,1,94.09,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00075,product_mng,medium,4,0.11,0.97,6,277,0,1,77.63,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00076,product_mng,medium,4,0.11,0.79,7,306,0,1,80.84,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00077,product_mng,medium,4,0.1,0.83,6,295,0,1,81.79,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00078,marketing,medium,3,0.4,0.54,2,137,0,1,57.25,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00079,sales,low,3,0.43,0.56,2,157,0,1,58.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00080,accounting,low,3,0.39,0.56,2,142,0,1,61.3,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00081,support,low,3,0.45,0.54,2,140,0,1,60.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00082,technical,low,3,0.38,0.49,2,151,0,1,59.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00083,management,low,3,0.79,0.59,4,139,1,1,25.05,Low,[]
EMP00084,marketing,low,6,0.84,0.85,4,249,0,1,32.73,Low,[]
EMP00085,marketing,low,4,0.11,0.77,6,291,0,1,75.63,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00086,marketing,low,4,0.11,0.87,6,305,0,1,88.63,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00087,sales,low,3,0.17,0.84,5,232,0,1,68.9,High,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00088,sales,low,3,0.44,0.45,2,132,0,1,62.3,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00089,sales,low,3,0.37,0.57,2,130,0,1,64.9,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00090,sales,low,4,0.1,0.79,6,291,0,1,75.93,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00091,sales,low,3,0.4,0.5,2,130,0,1,64.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00092,sales,low,5,0.89,1.0,5,246,0,1,42.59,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00093,sales,low,3,0.42,0.48,2,143,0,1,60.15,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00094,sales,low,3,0.46,0.55,2,129,0,1,62.45,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00095,sales,low,4,0.09,0.83,6,255,0,1,78.51,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00096,sales,low,3,0.37,0.51,2,155,0,1,59.9,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00097,sales,low,4,0.1,0.77,6,265,0,1,70.36,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00098,sales,low,4,0.1,0.84,6,279,0,1,83.36,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00099,sales,low,4,0.11,0.97,6,284,0,1,84.13,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00100,sales,medium,6,0.9,1.0,5,221,0,1,32.0,Low,[]
EMP00101,sales,medium,3,0.38,0.52,2,154,0,1,54.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00102,sales,medium,3,0.36,0.52,2,147,0,1,55.95,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00103,sales,medium,3,0.42,0.46,2,150,0,1,53.4,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00104,sales,medium,4,0.09,0.94,7,267,0,1,83.09,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00105,sales,medium,3,0.43,0.52,2,158,0,1,53.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00106,accounting,medium,5,0.24,0.46,7,224,0,1,62.8,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00107,accounting,medium,5,0.91,1.0,4,257,0,1,31.34,Low,[]
EMP00108,accounting,medium,3,0.44,0.5,2,148,0,1,53.3,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00109,hr,medium,4,0.71,0.87,3,177,0,1,33.7,Low,[]
EMP00110,hr,medium,3,0.4,0.49,2,155,0,1,54.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00111,hr,medium,3,0.43,0.47,2,144,0,1,54.6,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00112,hr,high,4,0.09,0.85,6,289,0,1,75.8,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00113,technical,low,3,0.43,0.52,2,160,0,1,58.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00114,technical,medium,5,0.9,0.96,4,258,0,1,31.86,Low,[]
EMP00115,technical,medium,5,0.84,1.0,5,234,0,1,37.8,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Workload imbalance (too many or too few projects)']"
EMP00116,technical,medium,3,0.37,0.48,2,137,0,1,58.15,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00117,technical,medium,2,0.86,0.68,5,263,0,1,26.13,Low,[]
EMP00118,technical,low,4,0.11,0.84,6,251,0,1,77.06,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00119,technical,low,3,0.37,0.57,2,133,0,1,64.15,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00120,technical,low,3,0.4,0.46,2,132,0,1,63.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00121,technical,low,4,0.14,0.62,4,158,0,1,55.8,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00122,technical,low,3,0.4,0.46,2,135,0,1,62.75,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00123,technical,low,6,0.75,1.0,4,216,0,1,33.5,Low,[]
EMP00124,support,low,5,0.11,0.84,6,300,0,1,87.56,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00125,support,low,3,0.46,0.49,2,138,0,1,60.2,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00126,support,low,4,0.11,0.92,6,260,0,1,78.99,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00127,support,low,3,0.38,0.49,2,132,0,1,64.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00128,support,low,5,0.7,0.89,3,183,0,1,39.0,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00129,support,low,4,0.09,0.82,6,250,0,1,77.44,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00130,support,low,3,0.37,0.45,2,151,0,1,59.9,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00131,support,low,4,0.1,0.83,6,292,0,1,86.14,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00132,support,low,3,0.38,0.57,2,140,0,1,62.1,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00133,support,low,5,0.9,1.0,5,221,0,1,41.0,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00134,support,low,3,0.44,0.51,2,138,0,1,60.8,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00135,technical,low,3,0.36,0.5,2,132,0,1,64.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00136,technical,low,5,0.31,0.84,7,133,0,1,69.95,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00137,technical,low,4,0.1,0.84,6,283,0,1,84.21,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00138,management,low,3,0.42,0.48,2,129,0,1,63.65,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00139,it,low,5,0.74,1.0,4,249,0,1,39.73,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00140,it,low,5,0.73,0.87,5,257,0,1,49.74,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00141,it,low,4,0.09,0.96,6,245,0,1,76.37,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00142,it,low,3,0.45,0.53,2,155,0,1,57.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00143,it,low,4,0.11,0.8,6,256,0,1,78.13,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00144,product_mng,low,3,0.37,0.47,2,152,0,1,59.9,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00145,product_mng,low,5,0.84,0.99,4,267,0,1,40.59,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00146,product_mng,low,3,0.41,0.46,2,151,0,1,58.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00147,product_mng,low,5,0.76,0.92,4,239,0,1,37.2,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00148,it,low,4,0.11,0.87,6,306,0,1,88.84,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00149,marketing,low,5,0.84,0.88,4,263,0,1,39.73,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00150,marketing,low,3,0.39,0.5,2,147,0,1,60.05,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00151,marketing,low,4,0.11,0.91,6,278,0,1,82.84,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00152,marketing,low,3,0.45,0.56,2,154,0,1,57.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00153,marketing,low,3,0.37,0.52,2,143,0,1,61.65,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00154,marketing,low,3,0.4,0.52,2,155,0,1,59.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00155,sales,low,3,0.39,0.48,2,160,0,1,59.3,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00156,accounting,low,4,0.11,0.8,6,304,0,1,88.41,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00157,support,low,5,0.83,1.0,5,240,0,1,43.1,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00158,technical,low,4,0.11,0.92,6,305,0,1,88.63,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']"
EMP00159,management,low,3,0.39,0.5,2,136,0,1,62.8,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00160,marketing,low,3,0.45,0.45,2,132,0,1,62.0,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00161,marketing,low,4,0.1,0.95,7,301,0,1,95.07,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00162,marketing,low,6,0.9,0.98,5,243,0,1,37.64,Medium,"['No recent promotion / stalled growth', 'Below-market / low compensation band', 'Workload imbalance (too many or too few projects)']"
EMP00163,sales,low,3,0.45,0.51,2,147,0,1,58.25,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00164,sales,low,5,0.79,0.89,5,239,0,1,44.3,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00165,sales,low,5,0.9,0.99,5,260,0,1,45.29,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00166,sales,low,4,0.11,0.84,7,296,0,1,93.7,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']"
EMP00167,sales,low,3,0.43,0.55,2,129,0,1,63.35,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00168,sales,low,5,0.31,0.54,5,132,0,1,63.2,Medium,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']"
EMP00169,sales,low,5,0.32,0.5,2,135,0,1,69.15,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']"
EMP00170,sales,low,3,0.45,0.57,2,158,0,1,57.5,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']"
EMP00171,sales,low,5,0.81,0.99,4,259,0,1,39.77,Medium,"['In a historically high-attrition tenure window', 'No recent promotion / stalled growth', 'Below-market / low compensation band']"
EMP00172,sales,low,3,0.41,0.46,2,160,1,1,48.7,Medium,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Below-market / low compensation band']"
