employee_id,department,salary,tenure,satisfaction_level,last_evaluation,number_project,average_monthly_hours,promotion_last_5years,left,risk_score,risk_band,risk_reasons,recommended_interventions
EMP02198,it,medium,5,0.16,0.98,5,284,0,0,77.63,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP09518,it,low,4,0.45,0.87,2,268,0,0,77.5,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP09820,technical,low,6,0.14,0.83,6,275,0,0,77.3,High,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.', 'Review pay against the role and market, and pair the conversation with recognition or other rewards where a change is not immediate.', 'Benchmark compensation for the role and explain the path for future pay progression as clearly as possible.', 'Consider a compensation review alongside recognition, bonus eligibility, flexibility, or development opportunities.']"
EMP04829,accounting,low,4,0.17,0.82,6,259,0,0,76.97,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP04593,sales,low,3,0.2,0.96,2,249,0,0,76.93,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP09219,product_mng,medium,4,0.17,0.81,5,280,0,0,76.47,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP06462,management,low,5,0.14,0.72,6,100,0,0,76.3,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP08505,technical,low,4,0.3,0.98,2,109,0,0,76.25,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'Unhealthy working hours (over/under-work)']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.']"
EMP07236,product_mng,low,4,0.14,0.99,6,251,0,0,76.16,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP08783,sales,low,3,0.2,0.98,2,228,0,0,75.0,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP06004,technical,medium,4,0.17,0.94,5,273,0,0,74.97,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP08443,support,medium,5,0.22,0.89,6,278,0,0,74.54,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP08736,technical,low,4,0.12,0.5,5,287,0,0,74.47,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP04161,support,low,5,0.43,0.9,5,282,0,0,74.1,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP03120,randd,low,6,0.12,0.93,6,257,0,0,74.04,High,"['Low job satisfaction', 'No recent promotion / stalled growth', 'Below-market / low compensation band']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.', 'Review pay against the role and market, and pair the conversation with recognition or other rewards where a change is not immediate.', 'Benchmark compensation for the role and explain the path for future pay progression as clearly as possible.', 'Consider a compensation review alongside recognition, bonus eligibility, flexibility, or development opportunities.']"
EMP08697,support,low,6,0.29,0.85,2,248,0,0,74.01,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP06464,it,low,5,0.14,0.98,6,221,0,0,73.8,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP02964,randd,low,4,0.22,0.8,4,287,0,0,73.47,High,"['Low job satisfaction', 'Unhealthy working hours (over/under-work)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review recent working hours, reset healthy boundaries, and rebalance work where sustained overwork is visible.', 'Discuss workload versus available capacity and encourage healthier working patterns, including time off where appropriate.', 'Look at the cause of unusually long or low hours and adjust staffing, priorities, or schedules where needed.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP05748,accounting,medium,4,0.18,0.86,5,267,0,0,73.39,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP02921,accounting,low,3,0.32,0.81,2,249,0,0,73.33,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
EMP06667,technical,medium,5,0.4,0.86,2,264,0,0,73.14,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP05576,sales,medium,4,0.23,0.96,2,234,0,0,73.1,High,"['Low job satisfaction', 'Workload imbalance (too many or too few projects)', 'In a historically high-attrition tenure window']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Review project allocation and rebalance the workload so responsibilities are challenging without becoming overwhelming.', ""Clarify priorities, remove low-value work where possible, and make sure responsibilities match the employee's role and capacity."", 'Explore a better-fit assignment, additional support, or a stretch opportunity depending on the workload pattern.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression.""]"
EMP03356,marketing,low,5,0.15,0.84,4,275,0,0,73.0,High,"['Low job satisfaction', 'In a historically high-attrition tenure window', 'No recent promotion / stalled growth']","['Start with a confidential stay interview to understand what is making the employee unhappy and agree on practical changes.', 'Use a focused engagement check-in or pulse survey to uncover the main source of dissatisfaction.', 'Create a short action plan with the employee and manager around the biggest day-to-day pain point.', 'Set up a career conversation covering the next role, new responsibilities, and what growth could look like over the next 6–12 months.', ""Explore a stretch assignment, mentoring opportunity, or internal move to keep the employee's next step visible."", ""Refresh the employee's development plan and create a concrete next milestone for progression."", 'Be explicit about promotion expectations, timing, and the skills or outcomes needed for the next step.', 'Create a visible growth plan with ownership of a project, mentoring, training, or another development opportunity.', 'Agree on a clear review point so the employee is not left with an open-ended promise about progression.']"
